id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
873,888 Casino,KW,Deposit Bonus,C$88 free deposit bonus at 888casino official site for online gaming in Canada,C$88,Deposit Bonus,Requires deposit and login to claim,Not specified,https://888-casino.org,2025-10-02T17:26:09.248146,-5783609137146736300,2025-10-02 15:38:31
876,888 Casino,KW,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88,Other,Log in required,Not specified,https://888-casino.org,2025-10-02T17:26:09.248146,-1141026093822849656,2025-10-02 15:38:31
874,888 Casino,KW,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,No deposit required,Not specified,https://888-casino.org,2025-10-02T17:26:09.248146,-415231811198453265,2025-10-02 15:38:31
875,888 Casino,KW,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match offer for new players,Not specified,https://888-casino.org,2025-10-02T17:26:09.248146,-5390854233612506198,2025-10-02 15:38:31
872,Casinia,KW,Welcome Bonus,Casino welcome bonus 100% up to €500 + 200 free spins + 1 bonus crab. Includes VIP levels and access to live casino and sports betting.,100% up to €500 + 200 FS,Welcome Bonus,Includes 1 bonus crab. Full terms available in help centre.,Not specified,https://casinia.com,2025-10-02T17:28:05.066280,7410332034428566162,2025-10-02 15:38:31
869,Casinia,KW,Crypto Welcome Bonuses,"Deposit bonus 100% up to €100 for casino, crypto welcome bonus 200% up to 3,000 USDT for casino, and crypto welcome bonus 100% up to 200 USDT for sports","€100, 3,000 USDT, 200 USDT",Welcome Bonus,"Multiple welcome bonuses available for casino and sports betting, cryptocurrency deposits required",Not specified,https://casinia.com,2025-10-02T17:28:05.066280,-6939935821626762716,2025-10-02 15:38:31
864,Casinia,KW,Found 'free spins' on page,"Free spins! enjoy 350 no-wagering free spins on games like eye of horus, fishin’ frenzy, and more.",350,Free Spins,No-wagering free spins,Not specified,https://casinia.bet,2025-10-02T17:28:11.404814,1397821195799486705,2025-10-02 15:38:31
865,Casinia,KW,Found 'jackpot' on page,jackpot 65100£ register trustworthy payments & exchanges on casinia-casino the payment methods featured on the site are convenient and secure for all,"£65,100",Jackpot,"Trustworthy payments and exchanges, convenient and secure payment methods",Not specified,https://casinia.bet,2025-10-02T17:28:11.404814,2251084515672668995,2025-10-02 15:38:31
870,Casinia,KW,Found 'jackpot' on page,jackpots sports live betting wheel of fortune new spin rally new challenges tournaments bonus crab shop vip levels english help centre casino live casino,Not specified,Jackpot,Not specified,Not specified,https://casinia.com,2025-10-02T17:28:05.066280,5601410238322331943,2025-10-02 15:38:31
867,Casinia,KW,No Deposit Bonus Promotion,Bonus promo code no deposit bonus for new players. Sign in and register to claim your offer. Spin and win with this promotional offer.,Not specified,Other,No deposit required. App sign-in and registration mandatory. Specific bonus amount and wagering requirements not clearly stated in the provided text.,Not specified,https://casinia.bet,2025-10-02T17:28:11.403815,-2421770796803367070,2025-10-02 15:38:31
866,Casinia,KW,Welcome Bonus,"Welcome bonus for signing up, you get 200 free spins, 100% up to £500, and 1 bonus crab. Reload bonus disbursed daily from Monday to Thursday",200 free spins + 100% up to £500,Welcome Bonus,Reload bonus disbursed daily from Monday to Thursday,Not specified,https://casinia.bet,2025-10-02T17:28:11.404814,8866220954987215857,2025-10-02 15:38:31
871,Casinia,KW,Welcome Bonus,welcome bonus 100% up to €500 + 200 fs + 1 bonus crab join now sport first deposit bonus 100% up to €100 join now casino crypto welcome bonus 200% up,"100% up to €500 + 200 Free Spins + 1 Bonus Crab (Casino), 100% up to €100 (Sport), 200% (Crypto Casino)",Welcome Bonus,"Multiple welcome bonuses available for casino, sports, and crypto deposits",Not specified,https://casinia.com,2025-10-02T17:28:05.066280,-4694861097523471705,2025-10-02 15:38:31
861,EmirBet,KW,Found 'bonus' on page,bonus up to €1000 + 150 free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet ca,Up to €1000 + 150 free spins,Welcome Bonus,Details not specified in the provided text,Not specified,https://emirbet.casino,2025-10-02T17:31:16.349449,-8625768402752301179,2025-10-02 15:38:31
880,Rabona,KW,Found 'bonus' on page,bonus crab niveles vip español centro de ayuda deportes apuestas en vivo casino bono de bienvenida crypto para deportes 100% hasta 200 usdt ¡únete ya!,100% up to 200 USDT,Welcome Bonus,Welcome bonus for crypto sports betting,Not specified,https://rabona.com,2025-10-02T17:24:34.614341,3623254139810101482,2025-10-02 15:38:31
877,Rabona,KW,Found 'jackpot' on page,"Hot jackpots, new jackpots, lucky jackpots, daily jackpots, all jackpots",Not specified,Jackpot,No specific conditions mentioned in provided text,Not specified,https://rabona.com/tournaments,2025-10-02T17:25:44.640475,7163000545056071294,2025-10-02 15:38:31
