id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
1694,888 Casino,SA,Bonus Wheel,Spin the daily bonus wheel and get up to 100% bonus. Sign up and deposit now to receive 100% up to $1000 bonus,Up to $1000,Deposit Bonus,"Daily bonus wheel spin, deposit required",,,https://www.ar888games1.com/en,2025-11-11T21:55:08.473678,-4765779740992257717,2025-11-11 21:09:09
1690,888 Casino,SA,Deposit Now Spin the Daily Bonus Wheel & Get Up to 100% Bonus!,Sign up and make your first deposit to spin the daily bonus wheel and receive a 100% bonus up to $1000.,100% up to $1000,Welcome Bonus,Available on first deposit. Must sign up to participate.,,,https://www.ar888games1.com/en,2025-11-11T21:55:08.474679,3007368279667381213,2025-11-11 21:09:09
1686,888 Casino,SA,Found 'deposit' on page,Depositor? You don't want to miss this fantastic offer T&Cs apply. Get 100% up to $1000 on your first deposit with 888casino!,100% up to $1000,Welcome Bonus,First deposit only. Terms and conditions apply.,,,https://www.ar888games1.com/en/promotions,2025-11-11T21:55:14.298907,-4763037586105406598,2025-11-11 21:09:09
1691,888 Casino,SA,Found 'free spins' on page,Free spins that actually pay out. Some are our own exclusive games you literally can't play anywhere else. Table games roulette (European's got better odds),,Free Spins,Free spins on exclusive games not available elsewhere; Includes table games and European roulette,,,https://www.ar888games1.com/en,2025-11-11T21:55:08.474679,-3904450441783554266,2025-11-11 21:09:09
1685,888 Casino,SA,Found 'jackpot' on page,"Jackpots 888 exclusive promotions sports VIP club. Enjoy the rewards of the 888 casino VIP club. Welcome to the 888 casino VIP club, a new dimension in exclusive benefits.",,Exclusive_benefits,VIP club membership required to access exclusive promotions and rewards,,,https://www.ar888games1.com/en/vip-programme,2025-11-11T21:55:20.590536,7375796916828872697,2025-11-11 21:09:09
1696,888 Casino,SA,Found 'jackpot' on page,"Jackpot Gold €117,788.61. New online casino games: Gates of Olympus, Super Scatter Gold Blitz Ultimate, Minerales Magicos, Banana Rush, Sweet Rush.","€117,788.61",Jackpot,Jackpot promotion for various slot games including Gates of Olympus and new releases,,,https://888casino.com,2025-11-11T21:54:46.638952,4829785593451452097,2025-11-11 21:09:09
1688,888 Casino,SA,Loyalty Points System,Every bet earns points. Get 100 points? That's $/€/£1 back in your pocket. Monday free spins when you deposit at least $/€/£20,$/€/£1 cashback per 100 points + Monday Free Spins,loyalty points,Deposit at least $/€/£20 on Monday to receive free spins,,,https://www.ar888games1.com/en,2025-11-11T21:55:08.474679,-3099058594616379249,2025-11-11 21:09:09
1689,888 Casino,SA,VIP Club,Spin the daily bonus wheel and get up to 100% bonus! Deposit now to spin the daily bonus wheel and get up to 100% bonus. Sign up and deposit to access this VIP benefit.,Up to 100%,Exclusive_benefits,Available to VIP club members. Must deposit to spin the daily bonus wheel.,,,https://www.ar888games1.com/en,2025-11-11T21:55:08.474679,-7363044305367540271,2025-11-11 21:09:09
1684,888 Casino,SA,VIP Levels,Welcome to the pinnacle of gaming! Reaching VIP status at 888casino is the gateway to the ultimate gaming experience. It's your golden ticket to exclusive benefits and premium treatment.,,vip levels,Reaching VIP status required,,,https://www.ar888games1.com/en/vip-programme,2025-11-11T21:55:20.590536,8821194915177933607,2025-11-11 21:09:09
1692,888 Casino,SA,Welcome Bonus,"Make your first deposit and we match it 100% up to $/€/£1,000. No tricks, no complicated terms. Can I play on my phone?","100% up to $/€/£1,000",Welcome Bonus,First deposit only. Mobile play available.,,,https://www.ar888games1.com/en,2025-11-11T21:55:08.474679,-138078527931244367,2025-11-11 21:09:09
1687,888 Casino,SA,Welcome Offer,100% matched free bet up to $50 on your first 888sport bet. Get 10% extra winnings every day! Terms and conditions apply.,Up to $50,Welcome Bonus,Terms and conditions apply. First bet only. 10% extra winnings daily promotion also subject to terms.,,,https://www.ar888games1.com/en/promotions,2025-11-11T21:55:14.298907,-2886202593016337242,2025-11-11 21:09:09
