id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
955,888 Casino,OM,Deposit Bonus,C$88 free deposit bonus at 888casino official - ready for a thrill? 888 casino is your gateway to top-tier online gaming in Canada,C$88,Deposit Bonus,"Requires deposit, terms and conditions apply",Not specified,https://888-casino.org,2025-10-02T17:55:53.941169,249282083787591421,2025-10-02 16:08:07
958,888 Casino,OM,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88,Other,Log in to 888casino official site,Not specified,https://888-casino.org,2025-10-02T17:55:53.941169,-2748930917084825922,2025-10-02 16:08:07
956,888 Casino,OM,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,No deposit required,Not specified,https://888-casino.org,2025-10-02T17:55:53.941169,-6909569610525602833,2025-10-02 16:08:07
957,888 Casino,OM,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match for new players,Not specified,https://888-casino.org,2025-10-02T17:55:53.941169,2506517874580325057,2025-10-02 16:08:07
948,Casinia,OM,Casino Crypto Welcome Bonus,"deposit bonus 100% up to €100 read more casino crypto welcome bonus 200% up to 3,000 usdt read more sport crypto welcome bonus 100% up to 200 usdt","200% up to 3,000 USDT",Welcome Bonus,"Minimum deposit required, terms and conditions apply",Not specified,https://casinia.com/promotions,2025-10-02T17:58:08.107929,-6350792402262787106,2025-10-02 16:08:07
947,Casinia,OM,Casino Welcome Bonus,Casino welcome bonus 100% up to €500 + 200 free spins,100% up to €500 + 200 FS,Welcome Bonus,Standard welcome bonus terms and wagering requirements apply,Not specified,https://casinia.com/promotions,2025-10-02T17:58:08.107929,3676511542795473858,2025-10-02 16:08:07
951,Casinia,OM,Casino Welcome Bonus,bonus crab shop vip levels english help centre promotions all casino sports crypto specials casino welcome bonus 100% up to €500 + 200 fs + 1 bonus cr,100% up to €500 + 200 Free Spins + 1 Bonus Crab,Welcome Bonus,Details unclear from provided text. Likely requires a deposit. Check 'help centre' and 'promotions' for full terms. May involve wagering requirements.,Not specified,https://casinia.com/promotions,2025-10-02T17:58:08.107929,-3407622095794637594,2025-10-02 16:08:07
949,Casinia,OM,Found 'free spins' on page,free spins read more sport weekend reload bonus 50% up to €750 read more casino weekend crypto reload bonus 75% up to 750 usdt + 100 fs read more spo,"€750, 750 USDT + 100 FS",Deposit Bonus,"Weekend reload bonus for sports and casino, separate crypto reload bonus",Weekend,https://casinia.com/promotions,2025-10-02T17:58:08.107929,774547071831169774,2025-10-02 16:08:07
952,Casinia,OM,Found 'free spins' on page,"Free spins! enjoy 350 no-wagering free spins on games like Eye of Horus, Fishin' Frenzy, and more.",350 free spins,Free Spins,No wagering required,Not specified,https://casinia.bet,2025-10-02T17:57:53.343557,-7729720345764252403,2025-10-02 16:08:07
954,Casinia,OM,No Deposit Bonus Promotion,Bonus promo code no deposit bonus for app sign in and registration. Marketing message: Luck lives in every bet! Play now spin on - win on!,Not specified,Other,Requires registration and app sign in. No deposit mentioned but specific bonus amount not provided.,Not specified,https://casinia.bet,2025-10-02T17:57:53.343557,1737222644092562151,2025-10-02 16:08:07
946,Casinia,OM,The Masters Tournament,"Tournament 'The Masters' with a prize pool of €1,500. Minimum bet: €10.00. Active status: Finished.","€1,500",Tournament,Minimum bet: €10.00,19 days 05:01:17 from campaign start,https://casinia.com/tournaments,2025-10-02T17:58:42.700764,-1390841340057102899,2025-10-02 16:08:07
950,Casinia,OM,Welcome Bonus,Welcome bonus 100% up to €500 + 200 free spins + 1 bonus crab. Also includes sport first deposit bonus 100% up to €100 and casino crypto welcome bonus 200%,€500 + 200 FS,Welcome Bonus,"Multiple welcome bonuses available including casino, sports, and crypto. Terms and wagering requirements apply.",Not specified,https://casinia.com/promotions,2025-10-02T17:58:08.107929,8262041608882112333,2025-10-02 16:08:07
953,Casinia,OM,Welcome Bonus,"Welcome bonus for signing up, you get 200 free spins, 100% up to £500, and 1 bonus crab. Reload bonus disbursed daily from Monday to Thursday",200 free spins + 100% up to £500,Welcome Bonus,Reload bonus disbursed daily from Monday to Thursday,Not specified,https://casinia.bet,2025-10-02T17:57:53.343557,-6801659597494278160,2025-10-02 16:08:07
943,EmirBet,OM,Found 'bonus' on page,bonus up to €1000 + 150 free spins games live casino sports betting bonuses games live casino sports betting bonuses sign up login emirbet emit bet ca,Up to €1000 + 150 free spins,Welcome Bonus,Details not specified in the provided text,Not specified,https://emirbet.casino,2025-10-02T18:00:50.312414,4444904458522229863,2025-10-02 16:08:07
961,Rabona,OM,Found 'bonus' on page,bonus crab niveles vip español centro de ayuda deportes apuestas en vivo casino bono de bienvenida crypto para deportes 100% hasta 200 usdt ¡únete ya!,100% up to 200 USDT,Welcome Bonus,Crypto welcome bonus for sports betting,Not specified,https://rabona.com,2025-10-02T17:54:17.296274,3389048877935244873,2025-10-02 16:08:07
959,Rabona,OM,VIP Tournament,Active tournament 'Los Maestros' with a prize pool of 1500€. Minimum bet: 10.00€. Status: Finished.,1500 €,Tournament,Minimum bet: 10.00 €,Finished,https://rabona.com/tournaments,2025-10-02T17:55:30.361161,150309404981849304,2025-10-02 16:08:07
945,Rooster bet,OM,Found 'bonus' on page,bonus 100% up to $1000 games sport cybersport promo tournaments lotteries,100% up to $1000,Deposit Bonus,"Games include sports, cybersport, tournaments, and lotteries",Not specified,https://roosterbet.bet,2025-10-02T17:59:11.679174,-9078875474843196057,2025-10-02 16:08:07
944,Rooster bet,OM,Found 'free spins' on page,free spins get bonus navigation open close an overview of rooster bet casino canada main advantages of rooster bet popular games and slots at rooster,Not specified,Free Spins,Not specified in the provided text,Not specified,https://roosterbet.bet,2025-10-02T17:59:11.679174,1597488499745096632,2025-10-02 16:08:07
