id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,created_at
918,888 Casino,QA,Deposit Bonus,C$88 free deposit bonus at 888casino official for Canadian online gaming,C$88,Deposit Bonus,Requires deposit and login to claim,Not specified,https://888-casino.org,2025-10-02T17:41:05.192561,1842149532677028982,2025-10-02 15:53:31
921,888 Casino,QA,Found 'bonus' on page,bonus – c$88 free get bonus log in 888casino official ready for a thrill? 888 casino is your gateway to top-tier online gaming in canada.,C$88 Free,Other,Requires login to 888casino official site,Not specified,https://888-casino.org,2025-10-02T17:41:05.192561,-1112950278577263351,2025-10-02 15:53:31
919,888 Casino,QA,Found 'free spins' on page,"free spins with zero strings attached (well, almost). this 888 casino no deposit bonus lets you dive straight in, test the waters, and get the reels spinning",Not specified,Free Spins,"No deposit required, specific terms not fully detailed",Not specified,https://888-casino.org,2025-10-02T17:41:05.192561,1993506538229540773,2025-10-02 15:53:31
920,888 Casino,QA,Welcome Bonus,New players at 888 casino can kick things off with a deposit match bonus,Not specified,Welcome Bonus,Deposit match offer for new players,Not specified,https://888-casino.org,2025-10-02T17:41:05.192561,-6629114728401484181,2025-10-02 15:53:31
911,Casinia,QA,Casino Crypto Welcome Bonus,"deposit bonus 100% up to €100 read more casino crypto welcome bonus 200% up to 3,000 usdt read more sport crypto welcome bonus 100% up to 200 usdt","200% up to 3,000 USDT",Welcome Bonus,Crypto deposit required,Not specified,https://casinia.com/promotions,2025-10-02T17:43:21.118912,-8674972359391512149,2025-10-02 15:53:31
910,Casinia,QA,Casino Welcome Bonus,Casino welcome bonus offering 100% match up to €500 plus 200 free spins,100% up to €500 + 200 FS,Welcome Bonus,"Standard welcome bonus terms apply, wagering requirements likely apply",Not specified,https://casinia.com/promotions,2025-10-02T17:43:21.118912,6593511232437370166,2025-10-02 15:53:31
914,Casinia,QA,Casino Welcome Bonus,bonus crab shop vip levels english help centre promotions all casino sports crypto specials casino welcome bonus 100% up to €500 + 200 fs + 1 bonus cr,100% up to €500 + 200 Free Spins + 1 Bonus Crab,Welcome Bonus,Additional details like wagering requirements and game restrictions likely apply but are not specified in the provided text.,Not specified,https://casinia.com/promotions,2025-10-02T17:43:21.118912,3901024597737233819,2025-10-02 15:53:31
912,Casinia,QA,Found 'free spins' on page,free spins read more sport weekend reload bonus 50% up to €750 read more casino weekend crypto reload bonus 75% up to 750 usdt + 100 fs read more spo,750 USDT + 100 Free Spins,Deposit Bonus,"Crypto deposit required, weekend reload bonus",Weekend,https://casinia.com/promotions,2025-10-02T17:43:21.118912,3765918934993565130,2025-10-02 15:53:31
915,Casinia,QA,Found 'free spins' on page,"Free spins! enjoy 350 no-wagering free spins on games like eye of horus, fishin' frenzy, and more.",350 free spins,Free Spins,No-wagering free spins,Not specified,https://casinia.bet,2025-10-02T17:43:06.100446,-8440034404346724879,2025-10-02 15:53:31
916,Casinia,QA,Found 'jackpot' on page,jackpot 65100£ register trustworthy payments & exchanges on casinia-casino the payment methods featured on the site are convenient and secure for all,65100£,Jackpot,"Trustworthy payments and exchanges, convenient and secure payment methods",Not specified,https://casinia.bet,2025-10-02T17:43:06.100446,2391876090641362968,2025-10-02 15:53:31
917,Casinia,QA,No Deposit Bonus Promotion,Bonus promo code no deposit bonus for new players. App sign in and register to claim the offer. Spin and win with free play opportunity.,Not specified,Other,"No deposit required, registration and app sign in needed",Not specified,https://casinia.bet,2025-10-02T17:43:06.100446,6079096672228284426,2025-10-02 15:53:31
909,Casinia,QA,The Masters Tournament,"Tournament 'The Masters' with a prize pool of €1,500. Minimum bet: €10.00.","€1,500",Tournament,Minimum bet: €10.00,19 days from the time the promotion was found,https://casinia.com/tournaments,2025-10-02T17:44:01.685452,4570318783648465315,2025-10-02 15:53:31
